valCount,collisions
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,2
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,4
22,4
23,4
24,5
25,5
26,5
27,5
28,5
29,6
30,6
31,7
32,7
33,7
34,8
35,9
36,10
37,10
38,10
39,10
40,10
41,10
42,11
43,12
44,13
45,14
46,14
47,15
48,15
49,16
50,16
51,17
52,18
53,19
54,20
55,20
56,20
57,20
58,21
59,22
60,22
61,22
62,23
63,23
64,23
65,23
66,24
67,25
68,25
69,26
70,27
71,28
72,28
73,29
74,29
75,29
76,29
77,30
78,30
79,31
80,31
81,32
82,32
83,33
84,33
85,33
86,33
87,34
88,35
89,35
90,36
91,36
92,37
93,37
94,37
95,38
96,38
97,38
98,38
99,39
100,40
101,40
102,40
103,40
104,41
105,41
106,41
107,42
108,42
109,43
110,44
111,44
112,45
113,45
114,45
115,45
116,45
117,45
118,46
119,46
120,46
121,46
122,46
123,47
124,47
125,47
126,48
127,49
128,49
129,49
130,50
131,50
132,50
133,51
134,51
135,51
136,51
137,51
138,52
139,52
140,52
141,52
142,53
143,53
144,53
145,53
146,53
147,53
148,54
149,55
150,55
151,56
152,56
153,57
154,58
155,58
156,59
157,59
158,59
159,60
160,61
161,61
162,62
163,62
164,63
165,64
166,64
167,64
168,64
169,65
170,66
171,66
172,66
173,66
174,67
175,68
176,68
177,69
178,69
179,69
180,69
181,69
182,69
183,69
184,69
185,69
186,69
187,69
188,69
189,70
190,70
191,71
192,72
193,72
194,73
195,73
196,73
197,74
198,75
199,75
200,75
201,75
202,75
203,75
204,76
205,77
206,78
207,79
208,79
209,79
210,80
211,81
212,81
213,81
214,81
215,81
216,81
217,81
218,81
219,81
220,81
221,81
222,82
223,82
224,82
225,82
226,83
227,83
228,83
229,83
230,83
231,83
232,84
233,84
234,85
235,86
236,86
237,87
238,87
239,87
240,87
241,88
242,88
243,88
244,88
245,88
246,89
247,90
248,91
249,92
250,93
251,93
252,93
253,93
254,93
255,94
256,94
257,95
258,95
259,96
260,97
261,97
262,97
263,97
264,97
265,97
266,97
267,98
268,98
269,99
270,99
271,100
272,100
273,101
274,101
275,101
276,102
277,102
278,103
279,103
