valCount,collisions
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,2
9,2
10,2
11,3
12,3
13,3
14,3
15,3
16,3
17,4
18,4
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,6
28,6
29,6
30,6
31,7
32,7
33,8
34,8
35,8
36,8
37,8
38,8
39,9
40,9
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,11
50,11
51,11
52,12
53,13
54,14
55,15
56,16
57,16
58,16
59,16
60,16
61,16
62,16
63,16
64,16
65,16
66,16
67,16
68,17
69,17
70,17
71,17
72,18
73,19
74,20
75,21
76,22
77,22
78,23
79,24
80,24
81,24
82,24
83,24
84,24
85,24
86,25
87,25
88,25
89,25
90,25
91,26
92,26
93,27
94,27
95,27
96,27
97,27
98,27
99,27
100,27
101,27
102,27
103,27
104,28
105,28
106,28
107,28
108,28
109,29
110,29
111,29
112,29
113,29
114,29
115,29
116,30
117,30
118,31
119,31
120,32
121,32
122,33
123,33
124,33
125,33
126,33
127,34
128,34
129,34
130,35
131,35
132,35
133,35
134,35
135,35
136,35
137,35
138,36
139,37
140,37
141,38
142,39
143,39
144,39
145,39
146,39
147,40
148,40
149,40
150,41
151,42
152,42
153,43
154,44
155,44
156,45
157,45
158,46
159,46
160,47
161,48
162,48
163,48
164,49
165,49
166,50
167,51
168,51
169,52
170,53
171,54
172,55
173,56
174,57
175,57
176,57
177,57
178,57
179,57
180,57
181,57
182,57
183,57
184,57
185,57
186,57
187,57
188,57
189,57
190,58
191,58
192,58
193,58
194,58
195,58
196,58
197,58
198,58
199,58
200,58
201,59
202,59
203,60
204,61
205,62
206,62
207,63
208,64
209,64
210,64
211,64
212,65
213,66
214,66
215,66
216,66
217,66
218,66
219,66
220,66
221,66
222,67
223,67
224,67
225,67
226,67
227,67
228,68
229,68
230,68
231,68
232,69
233,70
234,71
235,71
236,71
237,71
238,71
239,71
240,72
241,72
242,72
243,72
244,72
245,73
246,73
247,74
248,74
249,75
250,76
251,77
252,78
253,79
254,79
255,80
256,80
257,80
258,80
259,80
260,81
261,82
262,83
263,83
264,83
265,84
266,84
267,85
268,86
269,87
270,87
271,88
272,88
273,89
274,90
275,90
276,91
277,92
278,93
279,94
