valCount,collisions
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,2
16,2
17,2
18,2
19,3
20,3
21,3
22,3
23,4
24,5
25,5
26,5
27,6
28,7
29,7
30,7
31,7
32,8
33,9
34,10
35,10
36,11
37,11
38,11
39,11
40,11
41,11
42,12
43,12
44,12
45,12
46,12
47,13
48,13
49,13
50,13
51,13
52,14
53,14
54,15
55,15
56,16
57,16
58,17
59,18
60,19
61,19
62,20
63,20
64,20
65,20
66,21
67,22
68,22
69,22
70,22
71,23
72,24
73,25
74,26
75,26
76,27
77,27
78,27
79,27
80,27
81,27
82,27
83,27
84,27
85,27
86,28
87,28
88,29
89,29
90,30
91,31
92,31
93,32
94,32
95,32
96,32
97,32
98,32
99,33
100,33
101,33
102,33
103,33
104,34
105,34
106,35
107,36
108,36
109,36
110,36
111,37
112,38
113,38
114,38
115,38
116,38
117,38
118,38
119,38
120,38
121,39
122,40
123,40
124,41
125,41
126,42
127,42
128,42
129,42
130,43
131,43
132,43
133,43
134,44
135,45
136,46
137,46
138,47
139,48
140,48
141,49
142,49
143,50
144,51
145,52
146,52
147,53
148,53
149,53
150,54
151,54
152,54
153,55
154,56
155,56
156,56
157,56
158,56
159,56
160,57
161,58
162,58
163,59
164,59
165,59
166,59
167,59
168,59
169,59
170,60
171,60
172,61
173,61
174,61
175,61
176,61
177,62
178,62
179,63
180,63
181,63
182,63
183,63
184,64
185,64
186,64
187,64
188,65
189,66
190,67
191,67
192,68
193,68
194,68
195,68
196,68
197,69
198,69
199,69
200,69
201,70
202,70
203,70
204,70
205,71
206,71
207,71
208,71
209,71
210,71
211,72
212,73
213,73
214,73
215,74
216,75
217,76
218,76
219,77
220,77
221,78
222,79
223,79
224,79
225,79
226,80
227,81
228,81
229,82
230,82
231,82
232,82
233,82
234,83
235,83
236,83
237,83
238,84
239,84
240,85
241,86
242,87
243,88
244,89
245,89
246,89
247,89
248,89
249,89
250,89
251,89
252,90
253,91
254,92
255,92
256,93
257,93
258,93
259,94
260,95
261,95
262,96
263,97
264,97
265,97
266,98
267,98
268,99
269,99
270,99
271,99
272,99
273,100
274,101
275,102
276,102
277,103
278,104
279,104
