valCount,collisions
1,0
2,0
3,1
4,1
5,2
6,3
7,3
8,3
9,4
10,5
11,6
12,6
13,7
14,7
15,7
16,7
17,7
18,7
19,8
20,8
21,9
22,9
23,9
24,9
25,9
26,10
27,11
28,11
29,12
30,12
31,13
32,13
33,14
34,15
35,15
36,16
37,17
38,17
39,17
40,18
41,19
42,20
43,20
44,20
45,21
46,22
47,22
48,22
49,22
50,22
51,22
52,22
53,22
54,22
55,22
56,22
57,22
58,22
59,22
60,22
61,22
62,23
63,24
64,25
65,26
66,26
67,26
68,27
69,27
70,27
71,28
72,28
73,28
74,28
75,28
76,28
77,28
78,29
79,30
80,31
81,32
82,32
83,33
84,34
85,34
86,34
87,35
88,36
89,37
90,38
91,38
92,39
93,39
94,39
95,39
96,39
97,39
98,40
99,40
100,40
101,41
102,41
103,42
104,42
105,42
106,43
107,43
108,43
109,43
110,43
111,43
112,44
113,45
114,45
115,45
116,45
117,45
118,45
119,45
120,45
121,45
122,45
123,45
124,45
125,46
126,47
127,48
128,49
129,49
130,49
131,50
132,50
133,50
134,51
135,51
136,52
137,52
138,52
139,53
140,54
141,55
142,55
143,55
144,56
145,56
146,56
147,57
148,57
149,57
150,57
151,58
152,59
153,60
154,60
155,60
156,60
157,61
158,61
159,61
160,61
161,62
162,62
163,62
164,63
165,63
166,63
167,64
168,64
169,65
170,65
171,65
172,66
173,67
174,68
175,69
176,69
177,69
178,70
179,70
180,70
181,70
182,71
183,71
184,71
185,71
186,71
187,71
188,71
189,71
190,71
191,71
192,71
193,72
194,72
195,72
196,72
197,72
198,72
199,73
200,74
201,75
202,75
203,75
204,76
205,77
206,78
207,78
208,78
209,79
210,80
211,80
212,80
213,80
214,80
215,80
216,80
217,80
218,81
219,81
220,81
221,81
222,82
223,82
224,82
225,82
226,82
227,83
228,83
229,83
230,84
231,84
232,84
233,85
234,85
235,86
236,86
237,86
238,86
239,86
240,86
241,86
242,87
243,88
244,89
245,89
246,89
247,90
248,90
249,90
250,91
251,92
252,93
253,93
254,94
255,94
256,94
257,94
258,95
259,95
260,95
261,95
262,96
263,97
264,98
265,99
266,99
267,99
268,99
269,99
270,99
271,99
272,99
273,100
274,100
275,100
276,100
277,100
278,100
279,100
